first_name,last_name,street,city,postcode,mobile_phone,email,date_of_birth,gender,student_category,nationality,special_needs,additional_comments,status,major,minor
Kevin,Robinson,176 Maple Dr,Philadelphia,99502,+1-441-639-7951,kevin.robinson3@example.com,1998-06-27,Female,Exchange,Germany,false,No specific comments,Inactive,Psychology,Chemistry
Bob,Robinson,573 Elm Rd,San Antonio,39830,+1-802-282-8135,bob.robinson88@example.com,1997-03-15,Non-binary,Postgraduate,UK,false,No specific comments,Inactive,Business,Chemistry
Tina,Anderson,573 Elm Rd,New York,73904,+1-679-759-7931,tina.anderson9@example.com,1984-08-04,Male,Part-time,Mexico,false,No specific comments,Graduated,Science,Physics
Tina,Clark,867 Pine Ln,Dallas,29621,+1-768-426-6300,tina.clark88@example.com,1996-04-30,Female,Exchange,Australia,true,Requires academic advising,Suspended,Computer Science,Chemistry
Grace,Jones,867 Pine Ln,Dallas,28308,+1-708-526-2781,grace.jones39@example.com,1989-05-18,Male,Undergraduate,Germany,true,No specific comments,Graduated,History,Marketing
Noah,Thomas,453 Oak Ave,Chicago,25712,+1-626-981-8124,noah.thomas47@example.com,1987-09-10,Male,Part-time,Canada,true,Comment for Noah,Inactive,Science,
Frank,Robinson,176 Maple Dr,San Jose,66574,+1-791-602-8528,frank.robinson23@example.com,1985-04-28,Non-binary,Postgraduate,Mexico,false,No specific comments,Suspended,Psychology,Marketing
Alice,Davis,573 Elm Rd,San Diego,99095,+1-885-879-7966,alice.davis14@example.com,1996-06-23,Female,Postgraduate,Brazil,false,No specific comments,Suspended,Psychology,Data Science
Alice,White,397 Main St,San Antonio,59766,+1-683-552-6074,alice.white82@example.com,2001-05-14,Non-binary,Full-time,India,true,Participates in extracurriculars,Active,History,Physics
Frank,Clark,453 Oak Ave,Phoenix,78479,+1-367-480-3661,frank.clark70@example.com,1983-12-18,Male,Full-time,Germany,false,No specific comments,Graduated,Psychology,Literature
Frank,Smith,176 Maple Dr,San Antonio,21582,+1-989-634-6814,frank.smith59@example.com,1985-10-02,Non-binary,Undergraduate,UK,false,No specific comments,Active,Business,Finance
Mia,Brown,397 Main St,New York,41094,+1-570-356-6228,mia.brown55@example.com,1996-09-03,Non-binary,Exchange,France,true,Participates in extracurriculars,Inactive,Psychology,Chemistry
Rachel,Brown,867 Pine Ln,Dallas,66393,+1-682-455-4135,rachel.brown88@example.com,2003-10-01,Female,Postgraduate,Canada,false,No specific comments,Graduated,Computer Science,Sociology
Bob,Miller,453 Oak Ave,Houston,72579,+1-591-573-1032,bob.miller65@example.com,1996-06-29,Male,Part-time,Canada,false,No specific comments,Graduated,Business,Data Science
Quinn,Garcia,867 Pine Ln,Philadelphia,61378,+1-408-262-1725,quinn.garcia28@example.com,1986-06-19,Female,Part-time,Germany,true,Needs disability support,Inactive,Psychology,Physics
Grace,Moore,453 Oak Ave,Chicago,95512,+1-544-530-9425,grace.moore17@example.com,1991-01-27,Female,Undergraduate,Australia,false,No specific comments,Inactive,History,Chemistry
Liam,Taylor,176 Maple Dr,Houston,38187,+1-756-535-6445,liam.taylor3@example.com,1993-02-24,Non-binary,Exchange,Mexico,true,Participates in extracurriculars,Graduated,Engineering,Finance
Quinn,Smith,573 Elm Rd,Philadelphia,23825,+1-442-306-2579,quinn.smith57@example.com,1987-11-08,Non-binary,Full-time,China,false,No specific comments,Inactive,Psychology,Data Science
Eve,Anderson,453 Oak Ave,Dallas,46955,+1-306-424-7561,eve.anderson68@example.com,1987-10-03,Non-binary,Full-time,Mexico,true,Needs disability support,Suspended,Engineering,Sociology
Kevin,Garcia,573 Elm Rd,San Antonio,81525,+1-334-533-3746,kevin.garcia5@example.com,1991-11-23,Female,Exchange,Canada,true,Comment for Kevin,Graduated,Arts,Economics
Rachel,Clark,397 Main St,San Jose,64769,+1-830-326-7570,rachel.clark69@example.com,1990-07-04,Non-binary,Part-time,Australia,false,No specific comments,Active,Arts,Economics
Eve,Williams,573 Elm Rd,Houston,37447,+1-385-249-4720,eve.williams50@example.com,1986-06-22,Non-binary,Exchange,China,false,No specific comments,Inactive,Business,Marketing
Eve,Thompson,176 Maple Dr,Phoenix,52274,+1-981-796-1241,eve.thompson66@example.com,1991-12-04,Female,Postgraduate,USA,true,Requires academic advising,Suspended,Arts,Marketing
Ivan,Williams,453 Oak Ave,San Jose,99502,+1-866-322-4451,ivan.williams78@example.com,2002-03-26,Female,Postgraduate,India,false,No specific comments,Inactive,Engineering,Economics
Sam,Harris,867 Pine Ln,San Diego,72870,+1-414-308-8225,sam.harris36@example.com,1990-03-23,Male,Undergraduate,India,true,No specific comments,Active,Science,Chemistry
Judy,Brown,397 Main St,San Antonio,44611,+1-572-694-8860,judy.brown68@example.com,1997-01-15,Non-binary,Postgraduate,Canada,false,No specific comments,Graduated,Psychology,Sociology
Noah,Smith,573 Elm Rd,San Antonio,24659,+1-282-327-3936,noah.smith16@example.com,1988-11-08,Female,Full-time,France,false,No specific comments,Graduated,Psychology,Economics
